iter	RMSE
0	345.045314
1	323.2137686
2	303.6312623
3	286.4957661
4	271.2859162
5	257.4140952
6	245.2271287
7	234.7685252
8	225.5052331
9	217.2698128
10	209.2859659
11	201.569335
12	194.8836959
13	188.1377396
14	182.3682367
15	176.7370673
16	172.3319615
17	167.3966407
18	163.143857
19	159.5418814
20	155.6830618
21	152.0070966
22	148.6324821
23	145.476382
24	142.4116264
25	139.5591207
26	137.2872085
27	134.7519482
28	132.434273
29	129.1670357
30	126.8665431
31	123.9711979
32	122.0074078
33	120.2634983
34	118.4022456
35	116.9147231
36	115.3148013
37	113.8610671
38	112.5355033
39	111.2562063
40	109.4067727
41	108.0289212
42	107.3379133
43	106.6420578
44	105.0519894
45	103.9214129
46	102.9840863
47	101.5662635
48	100.2828297
49	99.82627017
50	99.0599559
51	97.87511161
52	96.99606243
53	95.72101344
54	95.24231515
55	94.25365459
56	93.8020976
57	93.23737987
58	92.8406355
59	91.94266564
60	91.6622906
61	91.51998805
62	90.38389292
63	89.82252974
64	88.86366331
65	88.69875192
66	87.94494942
67	87.54517333
68	87.1848557
69	86.48700561
70	86.21368604
71	85.88037614
72	85.73182788
73	84.87226435
74	84.35048478
75	83.79038607
76	83.59802477
77	83.35072873
78	83.06433975
79	82.93724644
80	82.63360599
81	82.38810882
82	81.59571968
83	81.27565606
84	81.00644351
85	80.74495673
86	80.36469951
87	80.23200687
88	79.93924235
89	79.73726507
90	79.11604554
91	78.753051
92	78.45518964
93	78.24297912
94	78.15645464
95	77.95872123
96	77.6468589
97	77.37142565
98	77.11671718
99	77.00788831
100	76.78230572
101	76.55745484
102	76.23790434
103	75.99161463
104	75.79341313
105	75.61380768
106	75.45456192
107	75.36508401
108	75.21552098
109	75.00929563
110	74.75512531
111	74.61737334
112	74.43345226
113	74.22692228
114	74.12595511
115	73.84037615
116	73.743445
117	73.55877897
118	73.49995926
119	73.34015894
120	73.21404371
121	73.09292741
122	73.01136686
123	72.79583584
124	72.6693194
125	72.56016924
126	72.45667115
127	72.37523982
128	72.19333489
129	71.97002925
130	71.89551953
131	71.70549231
132	71.64892054
133	71.61675465
134	71.55338074
135	71.4852152
136	71.31196808
137	71.19698269
138	71.16442685
139	71.08628984
140	70.91732583
141	70.86527737
142	70.70408634
143	70.62996354
144	70.49520223
145	70.39518464
146	70.34525966
147	70.28527964
148	70.23599987
149	70.14791608
150	70.02000228
151	69.96460893
152	69.87583047
153	69.80874134
154	69.66208264
155	69.63281358
156	69.57383882
157	69.47985763
158	69.45243751
159	69.42484309
160	69.3776112
161	69.31929666
162	69.29089065
163	69.24797558
164	69.1235811
165	68.9994043
166	68.95883915
167	68.93066458
168	68.86481847
169	68.80106718
170	68.74481033
171	68.72526608
172	68.60909599
173	68.59037289
174	68.56847747
175	68.43880107
176	68.37326016
177	68.30850604
178	68.25512594
179	68.14897805
180	68.12792054
181	68.07278985
182	67.96671273
183	67.92076139
184	67.89039664
185	67.87189669
186	67.78148364
187	67.72708088
188	67.71573242
189	67.55881059
190	67.54902428
191	67.50342306
192	67.4760814
193	67.3066492
194	67.23636102
195	67.20755943
196	67.17214265
197	67.13196081
198	67.10613913
199	67.04933546
200	66.9609158
201	66.8444556
202	66.75026857
203	66.71562659
204	66.65024461
205	66.63327531
206	66.60816704
207	66.595329
208	66.44511976
209	66.39584667
210	66.38088281
