iter	Passed	Remaining
0	59	59490
1	94	47133
2	125	41659
3	164	41052
4	195	39003
5	228	37872
6	258	36725
7	285	35424
8	325	35881
9	358	35532
10	390	35064
11	419	34565
12	448	34080
13	485	34162
14	519	34136
15	551	33927
16	580	33570
17	612	33422
18	644	33280
19	676	33148
20	709	33054
21	744	33101
22	774	32904
23	808	32889
24	842	32838
25	874	32763
26	915	32991
27	958	33281
28	991	33195
29	1023	33089
30	1055	32987
31	1092	33050
32	1128	33056
33	1169	33241
34	1204	33198
35	1238	33166
36	1274	33174
37	1303	32996
38	1328	32745
39	1370	32887
40	1401	32775
41	1437	32779
42	1464	32595
43	1492	32432
44	1523	32327
45	1554	32232
46	1602	32492
47	1633	32399
48	1664	32312
49	1692	32153
50	1731	32221
51	1766	32197
52	1804	32246
53	1839	32217
54	1870	32130
55	1913	32257
56	1954	32326
57	1994	32401
58	2020	32220
59	2053	32176
60	2088	32141
61	2119	32066
62	2152	32017
63	2182	31925
64	2221	31959
65	2252	31877
66	2293	31934
67	2325	31874
68	2354	31768
69	2385	31688
70	2411	31550
71	2459	31696
72	2486	31580
73	2516	31487
74	2544	31379
75	2578	31350
76	2611	31305
77	2648	31305
78	2693	31403
79	2723	31319
80	2751	31213
81	2784	31169
82	2815	31110
83	2849	31073
84	2887	31080
85	2939	31239
86	2968	31152
87	2997	31064
88	3025	30968
89	3061	30953
90	3095	30916
91	3126	30861
92	3160	30821
93	3192	30770
94	3223	30710
95	3257	30673
96	3298	30703
97	3331	30664
98	3362	30605
99	3394	30550
100	3425	30493
101	3454	30416
102	3490	30402
103	3525	30374
104	3561	30354
105	3591	30289
106	3624	30248
107	3658	30219
108	3689	30160
109	3734	30219
110	3766	30166
111	3793	30076
112	3819	29981
113	3850	29925
114	3893	29964
115	3937	30009
116	3971	29976
117	3999	29894
118	4032	29850
119	4064	29809
120	4100	29791
121	4136	29771
122	4164	29690
123	4191	29609
124	4219	29537
125	4251	29487
126	4286	29463
127	4316	29404
128	4355	29410
129	4387	29362
130	4427	29368
131	4462	29344
132	4492	29285
133	4528	29265
134	4557	29199
135	4583	29120
136	4622	29117
137	4653	29067
138	4683	29009
139	4719	28990
140	4760	29003
141	4789	28941
142	4836	28984
143	4876	28988
144	4911	28960
145	4941	28906
146	4977	28880
147	5024	28924
148	5056	28878
149	5095	28873
150	5128	28836
151	5167	28829
152	5195	28759
153	5227	28716
154	5262	28691
155	5290	28623
156	5321	28572
157	5355	28540
158	5408	28606
159	5438	28553
160	5469	28501
161	5499	28449
162	5534	28418
163	5567	28382
164	5610	28392
165	5643	28353
166	5672	28294
167	5703	28247
168	5735	28201
169	5765	28148
170	5803	28132
171	5841	28121
172	5871	28069
173	5906	28039
174	5937	27988
175	5967	27940
176	6012	27955
177	6060	27988
178	6090	27932
179	6120	27884
180	6156	27857
181	6184	27797
182	6225	27791
183	6249	27715
184	6280	27665
185	6310	27614
186	6341	27569
187	6373	27529
188	6403	27476
189	6444	27472
190	6470	27406
191	6507	27384
192	6538	27340
193	6567	27284
194	6597	27235
195	6627	27186
196	6668	27182
197	6707	27167
198	6741	27137
199	6773	27093
200	6808	27063
201	6845	27041
202	6886	27037
203	6919	26999
204	6943	26928
205	6973	26877
206	7004	26832
